,BPM,Moment
0,72,10/03/2022 16:23:05
1,72,10/03/2022 16:23:15
2,72,10/03/2022 16:23:26
3,72,10/03/2022 16:23:37
4,72,10/03/2022 16:23:47
5,71,10/03/2022 16:23:58
6,71,10/03/2022 16:24:08
7,71,10/03/2022 16:24:19
8,71,10/03/2022 16:24:30
9,71,10/03/2022 16:24:40
10,74,10/03/2022 16:24:51
11,74,10/03/2022 16:25:02
12,74,10/03/2022 16:25:12
13,74,10/03/2022 16:25:23
14,74,10/03/2022 16:25:33
15,71,10/03/2022 16:25:44
16,71,10/03/2022 16:25:55
17,71,10/03/2022 16:26:05
18,71,10/03/2022 16:26:16
19,71,10/03/2022 16:26:27
20,71,10/03/2022 16:26:37
21,71,10/03/2022 16:26:48
22,71,10/03/2022 16:26:58
23,71,10/03/2022 16:27:09
24,71,10/03/2022 16:27:20
25,71,10/03/2022 16:27:30
26,71,10/03/2022 16:27:41
27,71,10/03/2022 16:27:51
28,71,10/03/2022 16:28:02
29,71,10/03/2022 16:28:13
30,73,10/03/2022 16:28:23
31,73,10/03/2022 16:28:34
32,73,10/03/2022 16:28:45
33,73,10/03/2022 16:28:55
34,73,10/03/2022 16:29:06
35,72,10/03/2022 16:29:16
36,72,10/03/2022 16:29:27
37,72,10/03/2022 16:29:38
38,72,10/03/2022 16:29:48
39,72,10/03/2022 16:29:59
40,72,10/03/2022 16:30:10
41,72,10/03/2022 16:30:20
42,72,10/03/2022 16:30:31
43,72,10/03/2022 16:30:41
44,72,10/03/2022 16:30:52
45,72,10/03/2022 16:31:02
46,72,10/03/2022 16:31:13
47,72,10/03/2022 16:31:24
48,72,10/03/2022 16:31:34
49,72,10/03/2022 16:31:45
50,72,10/03/2022 16:31:56
51,72,10/03/2022 16:32:06
52,72,10/03/2022 16:32:17
53,72,10/03/2022 16:32:28
54,72,10/03/2022 16:32:38
55,72,10/03/2022 16:32:49
56,72,10/03/2022 16:32:59
57,72,10/03/2022 16:33:10
58,72,10/03/2022 16:33:21
59,72,10/03/2022 16:33:31
60,73,10/03/2022 16:33:42
61,73,10/03/2022 16:33:52
62,73,10/03/2022 16:34:03
63,73,10/03/2022 16:34:14
64,73,10/03/2022 16:34:24
65,72,10/03/2022 16:34:35
66,72,10/03/2022 16:34:45
67,72,10/03/2022 16:34:56
68,72,10/03/2022 16:35:07
69,72,10/03/2022 16:35:17
70,72,10/03/2022 16:35:28
71,72,10/03/2022 16:35:38
72,72,10/03/2022 16:35:49
73,72,10/03/2022 16:36:00
74,72,10/03/2022 16:36:10
75,73,10/03/2022 16:36:21
76,73,10/03/2022 16:36:31
77,73,10/03/2022 16:36:42
78,73,10/03/2022 16:36:53
79,73,10/03/2022 16:37:03
80,72,10/03/2022 16:37:14
81,72,10/03/2022 16:37:25
82,72,10/03/2022 16:37:35
83,72,10/03/2022 16:37:46
84,72,10/03/2022 16:37:56
85,72,10/03/2022 16:38:07
86,72,10/03/2022 16:38:18
87,72,10/03/2022 16:38:28
88,72,10/03/2022 16:38:39
89,72,10/03/2022 16:38:49
90,72,10/03/2022 16:39:00
91,72,10/03/2022 16:39:11
92,72,10/03/2022 16:39:21
93,72,10/03/2022 16:39:32
94,72,10/03/2022 16:39:42
95,73,10/03/2022 16:39:53
96,73,10/03/2022 16:40:04
97,73,10/03/2022 16:40:14
98,73,10/03/2022 16:40:25
99,73,10/03/2022 16:40:35
100,71,10/03/2022 16:40:46
101,71,10/03/2022 16:40:57
102,71,10/03/2022 16:41:07
103,71,10/03/2022 16:41:18
104,71,10/03/2022 16:41:28
105,71,10/03/2022 16:41:39
106,71,10/03/2022 16:41:50
107,71,10/03/2022 16:42:00
108,71,10/03/2022 16:42:11
109,71,10/03/2022 16:42:22
110,73,10/03/2022 16:42:32
111,73,10/03/2022 16:42:43
112,73,10/03/2022 16:42:53
113,73,10/03/2022 16:43:04
114,73,10/03/2022 16:43:15
115,73,10/03/2022 16:43:25
116,73,10/03/2022 16:43:36
117,73,10/03/2022 16:43:46
118,73,10/03/2022 16:43:57
119,73,10/03/2022 16:44:08
120,70,10/03/2022 16:44:18
121,70,10/03/2022 16:44:29
122,70,10/03/2022 16:44:40
123,70,10/03/2022 16:44:50
124,70,10/03/2022 16:45:01
125,72,10/03/2022 16:45:11
126,72,10/03/2022 16:45:22
127,72,10/03/2022 16:45:33
128,72,10/03/2022 16:45:43
129,72,10/03/2022 16:45:54
130,70,10/03/2022 16:46:04
131,70,10/03/2022 16:46:15
132,70,10/03/2022 16:46:26
133,70,10/03/2022 16:46:36
134,70,10/03/2022 16:46:47
135,70,10/03/2022 16:46:58
136,70,10/03/2022 16:47:08
137,70,10/03/2022 16:47:19
138,70,10/03/2022 16:47:29
139,70,10/03/2022 16:47:40
140,73,10/03/2022 16:47:51
141,73,10/03/2022 16:48:01
142,73,10/03/2022 16:48:12
143,73,10/03/2022 16:48:22
144,73,10/03/2022 16:48:33
145,72,10/03/2022 16:48:44
146,72,10/03/2022 16:48:54
147,72,10/03/2022 16:49:05
148,72,10/03/2022 16:49:16
149,72,10/03/2022 16:49:26
150,73,10/03/2022 16:49:37
151,73,10/03/2022 16:49:47
152,73,10/03/2022 16:49:58
153,73,10/03/2022 16:50:09
154,73,10/03/2022 16:50:19
155,71,10/03/2022 16:50:30
156,71,10/03/2022 16:50:40
157,71,10/03/2022 16:50:51
158,71,10/03/2022 16:51:02
159,71,10/03/2022 16:51:12
160,73,10/03/2022 16:51:23
161,73,10/03/2022 16:51:34
162,73,10/03/2022 16:51:44
163,73,10/03/2022 16:51:55
164,73,10/03/2022 16:52:05
165,74,10/03/2022 16:52:16
166,74,10/03/2022 16:52:26
167,74,10/03/2022 16:52:37
168,74,10/03/2022 16:52:48
169,74,10/03/2022 16:52:58
