,BPM,Moment
0,64,08/03/2022 12:42:35
1,64,08/03/2022 12:42:46
2,64,08/03/2022 12:42:56
3,64,08/03/2022 12:43:07
4,64,08/03/2022 12:43:18
5,65,08/03/2022 12:43:28
6,65,08/03/2022 12:43:39
7,65,08/03/2022 12:43:49
8,65,08/03/2022 12:44:00
9,65,08/03/2022 12:44:11
10,64,08/03/2022 12:44:21
11,64,08/03/2022 12:44:32
12,64,08/03/2022 12:44:42
13,64,08/03/2022 12:44:53
14,64,08/03/2022 12:45:04
15,65,08/03/2022 12:45:14
16,65,08/03/2022 12:45:25
17,65,08/03/2022 12:45:36
18,65,08/03/2022 12:45:46
19,65,08/03/2022 12:45:57
20,64,08/03/2022 12:46:07
21,64,08/03/2022 12:46:18
22,64,08/03/2022 12:46:29
23,64,08/03/2022 12:46:39
24,64,08/03/2022 12:46:50
25,65,08/03/2022 12:47:00
26,65,08/03/2022 12:47:11
27,65,08/03/2022 12:47:22
28,65,08/03/2022 12:47:32
29,65,08/03/2022 12:47:43
30,63,08/03/2022 12:47:54
31,63,08/03/2022 12:48:04
32,63,08/03/2022 12:48:15
33,63,08/03/2022 12:48:25
34,63,08/03/2022 12:48:36
35,64,08/03/2022 12:48:47
36,64,08/03/2022 12:48:57
37,64,08/03/2022 12:49:08
38,64,08/03/2022 12:49:18
39,64,08/03/2022 12:49:29
40,63,08/03/2022 12:49:40
41,63,08/03/2022 12:49:50
42,63,08/03/2022 12:50:01
43,63,08/03/2022 12:50:12
44,63,08/03/2022 12:50:22
45,64,08/03/2022 12:50:33
46,64,08/03/2022 12:50:43
47,64,08/03/2022 12:50:54
48,64,08/03/2022 12:51:05
49,64,08/03/2022 12:51:15
50,63,08/03/2022 12:51:26
51,63,08/03/2022 12:51:37
52,63,08/03/2022 12:51:47
53,63,08/03/2022 12:51:58
54,63,08/03/2022 12:52:08
55,64,08/03/2022 12:52:19
56,64,08/03/2022 12:52:30
57,64,08/03/2022 12:52:40
58,64,08/03/2022 12:52:51
59,64,08/03/2022 12:53:01
60,65,08/03/2022 12:53:12
61,65,08/03/2022 12:53:23
62,65,08/03/2022 12:53:33
63,65,08/03/2022 12:53:44
64,65,08/03/2022 12:53:55
65,66,08/03/2022 12:54:05
66,66,08/03/2022 12:54:16
67,66,08/03/2022 12:54:26
68,66,08/03/2022 12:54:37
69,66,08/03/2022 12:54:48
70,64,08/03/2022 12:54:58
71,64,08/03/2022 12:55:09
72,64,08/03/2022 12:55:19
73,64,08/03/2022 12:55:30
74,64,08/03/2022 12:55:41
75,65,08/03/2022 12:55:51
76,65,08/03/2022 12:56:02
77,65,08/03/2022 12:56:13
78,65,08/03/2022 12:56:23
79,65,08/03/2022 12:56:34
80,64,08/03/2022 12:56:44
81,64,08/03/2022 12:56:55
82,64,08/03/2022 12:57:06
83,64,08/03/2022 12:57:16
84,64,08/03/2022 12:57:27
85,66,08/03/2022 12:57:37
86,66,08/03/2022 12:57:48
87,66,08/03/2022 12:57:59
88,66,08/03/2022 12:58:09
89,66,08/03/2022 12:58:20
90,65,08/03/2022 12:58:31
91,65,08/03/2022 12:58:41
92,65,08/03/2022 12:58:52
93,65,08/03/2022 12:59:02
94,65,08/03/2022 12:59:13
95,65,08/03/2022 12:59:24
96,65,08/03/2022 12:59:34
97,65,08/03/2022 12:59:45
98,65,08/03/2022 12:59:56
99,65,08/03/2022 13:00:06
100,66,08/03/2022 13:00:17
101,66,08/03/2022 13:00:27
102,66,08/03/2022 13:00:38
103,66,08/03/2022 13:00:49
104,66,08/03/2022 13:01:00
105,64,08/03/2022 13:01:10
106,64,08/03/2022 13:01:21
107,64,08/03/2022 13:01:32
108,64,08/03/2022 13:01:42
109,64,08/03/2022 13:01:53
110,63,08/03/2022 13:02:04
111,63,08/03/2022 13:02:14
112,63,08/03/2022 13:02:25
113,63,08/03/2022 13:02:35
114,63,08/03/2022 13:02:46
115,64,08/03/2022 13:02:57
116,64,08/03/2022 13:03:07
117,64,08/03/2022 13:03:18
118,64,08/03/2022 13:03:28
