,BPM,Moment
0,90,08/03/2022 13:50:28
1,90,08/03/2022 13:50:39
2,90,08/03/2022 13:50:49
3,90,08/03/2022 13:51:00
4,90,08/03/2022 13:51:10
5,89,08/03/2022 13:51:21
6,89,08/03/2022 13:51:32
7,89,08/03/2022 13:51:42
8,89,08/03/2022 13:51:53
9,89,08/03/2022 13:52:03
10,90,08/03/2022 13:52:14
11,90,08/03/2022 13:52:25
12,90,08/03/2022 13:52:35
13,90,08/03/2022 13:52:46
14,90,08/03/2022 13:52:57
15,91,08/03/2022 13:53:07
16,91,08/03/2022 13:53:18
17,91,08/03/2022 13:53:28
18,91,08/03/2022 13:53:39
19,91,08/03/2022 13:53:50
20,89,08/03/2022 13:54:00
21,89,08/03/2022 13:54:11
22,89,08/03/2022 13:54:22
23,89,08/03/2022 13:54:32
24,89,08/03/2022 13:54:43
25,89,08/03/2022 13:54:53
26,89,08/03/2022 13:55:04
27,89,08/03/2022 13:55:14
28,89,08/03/2022 13:55:25
29,89,08/03/2022 13:55:36
30,93,08/03/2022 13:55:46
31,93,08/03/2022 13:55:57
32,93,08/03/2022 13:56:07
33,93,08/03/2022 13:56:18
34,93,08/03/2022 13:56:29
35,90,08/03/2022 13:56:39
36,90,08/03/2022 13:56:50
37,90,08/03/2022 13:57:00
38,90,08/03/2022 13:57:11
39,90,08/03/2022 13:57:22
40,89,08/03/2022 13:57:32
41,89,08/03/2022 13:57:43
42,89,08/03/2022 13:57:53
43,89,08/03/2022 13:58:04
44,89,08/03/2022 13:58:15
45,90,08/03/2022 13:58:25
46,90,08/03/2022 13:58:36
47,90,08/03/2022 13:58:47
48,90,08/03/2022 13:58:57
49,90,08/03/2022 13:59:08
50,86,08/03/2022 13:59:18
51,86,08/03/2022 13:59:29
52,86,08/03/2022 13:59:40
53,86,08/03/2022 13:59:50
54,86,08/03/2022 14:00:01
