,BPM,Moment
0,91,03/03/2022 13:58:33
1,91,03/03/2022 13:58:44
2,91,03/03/2022 13:58:55
3,91,03/03/2022 13:59:05
4,91,03/03/2022 13:59:16
5,87,03/03/2022 13:59:26
6,87,03/03/2022 13:59:37
7,87,03/03/2022 13:59:48
8,87,03/03/2022 13:59:58
9,87,03/03/2022 14:00:09
10,91,03/03/2022 14:00:20
11,91,03/03/2022 14:00:30
12,91,03/03/2022 14:00:41
13,91,03/03/2022 14:00:52
14,91,03/03/2022 14:01:02
15,92,03/03/2022 14:01:13
16,92,03/03/2022 14:01:23
17,92,03/03/2022 14:01:34
18,92,03/03/2022 14:01:45
19,92,03/03/2022 14:01:55
20,91,03/03/2022 14:02:06
21,91,03/03/2022 14:02:16
22,91,03/03/2022 14:02:27
23,91,03/03/2022 14:02:38
24,91,03/03/2022 14:02:48
25,91,03/03/2022 14:02:59
26,91,03/03/2022 14:03:09
27,91,03/03/2022 14:03:20
28,91,03/03/2022 14:03:31
29,91,03/03/2022 14:03:41
30,89,03/03/2022 14:03:52
31,89,03/03/2022 14:04:02
32,89,03/03/2022 14:04:13
33,89,03/03/2022 14:04:24
34,89,03/03/2022 14:04:34
35,92,03/03/2022 14:04:45
36,92,03/03/2022 14:04:55
37,92,03/03/2022 14:05:06
38,92,03/03/2022 14:05:17
39,92,03/03/2022 14:05:27
40,89,03/03/2022 14:05:38
41,89,03/03/2022 14:05:48
42,89,03/03/2022 14:05:59
43,89,03/03/2022 14:06:10
44,89,03/03/2022 14:06:20
45,90,03/03/2022 14:06:31
46,90,03/03/2022 14:06:41
47,90,03/03/2022 14:06:52
48,90,03/03/2022 14:07:03
49,90,03/03/2022 14:07:13
50,90,03/03/2022 14:07:24
51,90,03/03/2022 14:07:34
52,90,03/03/2022 14:07:45
53,90,03/03/2022 14:07:56
54,90,03/03/2022 14:08:06
55,90,03/03/2022 14:08:17
56,90,03/03/2022 14:08:28
57,90,03/03/2022 14:08:38
58,90,03/03/2022 14:08:49
59,90,03/03/2022 14:08:59
60,90,03/03/2022 14:09:10
61,90,03/03/2022 14:09:21
62,90,03/03/2022 14:09:31
63,90,03/03/2022 14:09:42
64,90,03/03/2022 14:09:52
65,89,03/03/2022 14:10:03
66,89,03/03/2022 14:10:14
67,89,03/03/2022 14:10:24
68,89,03/03/2022 14:10:35
69,89,03/03/2022 14:10:45
70,91,03/03/2022 14:10:56
71,91,03/03/2022 14:11:07
72,91,03/03/2022 14:11:17
73,91,03/03/2022 14:11:28
74,91,03/03/2022 14:11:39
75,90,03/03/2022 14:11:49
76,90,03/03/2022 14:12:00
77,90,03/03/2022 14:12:10
78,90,03/03/2022 14:12:21
79,90,03/03/2022 14:12:32
80,89,03/03/2022 14:12:42
81,89,03/03/2022 14:12:53
82,89,03/03/2022 14:13:04
83,89,03/03/2022 14:13:14
84,89,03/03/2022 14:13:25
85,90,03/03/2022 14:13:36
86,90,03/03/2022 14:13:46
87,90,03/03/2022 14:13:57
88,90,03/03/2022 14:14:07
89,90,03/03/2022 14:14:18
90,91,03/03/2022 14:14:29
91,91,03/03/2022 14:14:39
92,91,03/03/2022 14:14:50
93,91,03/03/2022 14:15:01
94,91,03/03/2022 14:15:11
95,90,03/03/2022 14:15:22
96,90,03/03/2022 14:15:33
97,90,03/03/2022 14:15:43
98,90,03/03/2022 14:15:54
99,90,03/03/2022 14:16:04
100,89,03/03/2022 14:16:15
101,89,03/03/2022 14:16:26
102,89,03/03/2022 14:16:36
103,89,03/03/2022 14:16:47
104,89,03/03/2022 14:16:58
105,88,03/03/2022 14:17:08
106,88,03/03/2022 14:17:19
107,88,03/03/2022 14:17:29
108,88,03/03/2022 14:17:40
109,88,03/03/2022 14:17:51
110,89,03/03/2022 14:18:01
111,89,03/03/2022 14:18:12
112,89,03/03/2022 14:18:22
113,89,03/03/2022 14:18:33
114,89,03/03/2022 14:18:44
115,90,03/03/2022 14:18:54
116,90,03/03/2022 14:19:05
117,90,03/03/2022 14:19:15
118,90,03/03/2022 14:19:26
119,90,03/03/2022 14:19:37
120,89,03/03/2022 14:19:47
121,89,03/03/2022 14:19:58
122,89,03/03/2022 14:20:08
123,89,03/03/2022 14:20:19
124,89,03/03/2022 14:20:30
125,91,03/03/2022 14:20:40
126,91,03/03/2022 14:20:51
127,91,03/03/2022 14:21:02
128,91,03/03/2022 14:21:12
129,91,03/03/2022 14:21:23
130,90,03/03/2022 14:21:33
131,90,03/03/2022 14:21:44
132,90,03/03/2022 14:21:55
133,90,03/03/2022 14:22:05
134,90,03/03/2022 14:22:16
135,89,03/03/2022 14:22:26
136,89,03/03/2022 14:22:37
137,89,03/03/2022 14:22:48
138,89,03/03/2022 14:22:58
139,89,03/03/2022 14:23:09
140,89,03/03/2022 14:23:19
141,89,03/03/2022 14:23:30
142,89,03/03/2022 14:23:41
143,89,03/03/2022 14:23:51
144,89,03/03/2022 14:24:02
145,91,03/03/2022 14:24:12
146,91,03/03/2022 14:24:23
147,91,03/03/2022 14:24:34
148,91,03/03/2022 14:24:44
149,91,03/03/2022 14:24:55
150,91,03/03/2022 14:25:06
151,91,03/03/2022 14:25:16
152,91,03/03/2022 14:25:27
153,91,03/03/2022 14:25:37
154,91,03/03/2022 14:25:48
155,89,03/03/2022 14:25:59
156,89,03/03/2022 14:26:09
157,89,03/03/2022 14:26:20
158,89,03/03/2022 14:26:31
159,89,03/03/2022 14:26:41
