,BPM,Moment
0,80,08/03/2022 10:39:40
1,80,08/03/2022 10:39:50
2,80,08/03/2022 10:40:01
3,80,08/03/2022 10:40:12
4,80,08/03/2022 10:40:22
5,80,08/03/2022 10:40:33
6,80,08/03/2022 10:40:43
7,80,08/03/2022 10:40:54
8,80,08/03/2022 10:41:05
9,80,08/03/2022 10:41:15
10,80,08/03/2022 10:41:26
11,80,08/03/2022 10:41:37
12,80,08/03/2022 10:41:47
13,80,08/03/2022 10:41:58
14,80,08/03/2022 10:42:08
15,80,08/03/2022 10:42:19
16,80,08/03/2022 10:42:30
17,80,08/03/2022 10:42:40
18,80,08/03/2022 10:42:51
19,80,08/03/2022 10:43:01
20,81,08/03/2022 10:43:12
21,81,08/03/2022 10:43:23
22,81,08/03/2022 10:43:33
23,81,08/03/2022 10:43:44
24,81,08/03/2022 10:43:55
25,79,08/03/2022 10:44:05
26,79,08/03/2022 10:44:16
27,79,08/03/2022 10:44:26
28,79,08/03/2022 10:44:37
29,79,08/03/2022 10:44:47
30,81,08/03/2022 10:44:58
31,81,08/03/2022 10:45:09
32,81,08/03/2022 10:45:19
33,81,08/03/2022 10:45:30
34,81,08/03/2022 10:45:41
35,81,08/03/2022 10:45:51
36,81,08/03/2022 10:46:02
37,81,08/03/2022 10:46:12
38,81,08/03/2022 10:46:23
39,81,08/03/2022 10:46:34
40,81,08/03/2022 10:46:44
41,81,08/03/2022 10:46:55
42,81,08/03/2022 10:47:05
43,81,08/03/2022 10:47:16
44,81,08/03/2022 10:47:27
45,80,08/03/2022 10:47:37
46,80,08/03/2022 10:47:48
47,80,08/03/2022 10:47:58
48,80,08/03/2022 10:48:09
49,80,08/03/2022 10:48:20
50,79,08/03/2022 10:48:30
51,79,08/03/2022 10:48:41
52,79,08/03/2022 10:48:52
53,79,08/03/2022 10:49:02
54,79,08/03/2022 10:49:13
55,80,08/03/2022 10:49:23
56,80,08/03/2022 10:49:34
57,80,08/03/2022 10:49:45
58,80,08/03/2022 10:49:55
59,80,08/03/2022 10:50:06
60,79,08/03/2022 10:50:16
61,79,08/03/2022 10:50:27
62,79,08/03/2022 10:50:38
63,79,08/03/2022 10:50:48
64,79,08/03/2022 10:50:59
65,79,08/03/2022 10:51:09
66,79,08/03/2022 10:51:20
67,79,08/03/2022 10:51:31
68,79,08/03/2022 10:51:41
