,BPM,Moment
0,74,07/03/2022 14:58:06
1,74,07/03/2022 14:58:16
2,74,07/03/2022 14:58:27
3,74,07/03/2022 14:58:38
4,74,07/03/2022 14:58:48
5,73,07/03/2022 14:58:59
6,73,07/03/2022 14:59:09
7,73,07/03/2022 14:59:20
8,73,07/03/2022 14:59:31
9,73,07/03/2022 14:59:41
10,74,07/03/2022 14:59:52
11,74,07/03/2022 15:00:02
12,74,07/03/2022 15:00:13
13,74,07/03/2022 15:00:24
14,74,07/03/2022 15:00:34
15,72,07/03/2022 15:00:45
16,72,07/03/2022 15:00:55
17,72,07/03/2022 15:01:06
18,72,07/03/2022 15:01:17
19,72,07/03/2022 15:01:27
20,73,07/03/2022 15:01:38
21,73,07/03/2022 15:01:48
22,73,07/03/2022 15:01:59
23,73,07/03/2022 15:02:10
24,73,07/03/2022 15:02:20
25,73,07/03/2022 15:02:31
26,73,07/03/2022 15:02:41
27,73,07/03/2022 15:02:52
28,73,07/03/2022 15:03:03
29,73,07/03/2022 15:03:13
30,72,07/03/2022 15:03:24
31,72,07/03/2022 15:03:35
32,72,07/03/2022 15:03:45
33,72,07/03/2022 15:03:56
34,72,07/03/2022 15:04:06
35,74,07/03/2022 15:04:17
36,74,07/03/2022 15:04:28
37,74,07/03/2022 15:04:38
38,74,07/03/2022 15:04:49
39,74,07/03/2022 15:05:00
40,73,07/03/2022 15:05:10
41,73,07/03/2022 15:05:21
42,73,07/03/2022 15:05:31
43,73,07/03/2022 15:05:42
44,73,07/03/2022 15:05:52
45,72,07/03/2022 15:06:03
46,72,07/03/2022 15:06:14
47,72,07/03/2022 15:06:24
48,72,07/03/2022 15:06:35
49,72,07/03/2022 15:06:46
50,73,07/03/2022 15:06:56
51,73,07/03/2022 15:07:07
52,73,07/03/2022 15:07:17
53,73,07/03/2022 15:07:28
54,73,07/03/2022 15:07:39
55,74,07/03/2022 15:07:49
