,BPM,Moment
0,60,14/03/2022 12:29:53
1,60,14/03/2022 12:30:04
2,60,14/03/2022 12:30:15
3,60,14/03/2022 12:30:25
4,60,14/03/2022 12:30:36
5,60,14/03/2022 12:30:46
6,60,14/03/2022 12:30:57
7,60,14/03/2022 12:31:08
8,60,14/03/2022 12:31:18
9,60,14/03/2022 12:31:29
10,60,14/03/2022 12:31:40
11,60,14/03/2022 12:31:50
12,60,14/03/2022 12:32:01
13,60,14/03/2022 12:32:11
14,60,14/03/2022 12:32:22
15,60,14/03/2022 12:32:33
16,60,14/03/2022 12:32:43
17,60,14/03/2022 12:32:54
18,60,14/03/2022 12:33:04
19,60,14/03/2022 12:33:15
20,59,14/03/2022 12:33:26
21,59,14/03/2022 12:33:36
22,59,14/03/2022 12:33:47
23,59,14/03/2022 12:33:57
24,59,14/03/2022 12:34:08
25,59,14/03/2022 12:34:19
26,59,14/03/2022 12:34:29
27,59,14/03/2022 12:34:40
28,59,14/03/2022 12:34:50
29,59,14/03/2022 12:35:01
30,60,14/03/2022 12:35:12
31,60,14/03/2022 12:35:22
32,60,14/03/2022 12:35:33
33,60,14/03/2022 12:35:43
34,60,14/03/2022 12:35:54
35,61,14/03/2022 12:36:05
36,61,14/03/2022 12:36:15
37,61,14/03/2022 12:36:26
38,61,14/03/2022 12:36:36
39,61,14/03/2022 12:36:47
40,61,14/03/2022 12:36:58
41,61,14/03/2022 12:37:08
42,61,14/03/2022 12:37:19
43,61,14/03/2022 12:37:30
44,61,14/03/2022 12:37:40
45,62,14/03/2022 12:37:51
46,62,14/03/2022 12:38:01
47,62,14/03/2022 12:38:12
48,62,14/03/2022 12:38:23
49,62,14/03/2022 12:38:33
50,62,14/03/2022 12:38:44
51,62,14/03/2022 12:38:54
52,62,14/03/2022 12:39:05
53,62,14/03/2022 12:39:16
54,62,14/03/2022 12:39:26
55,60,14/03/2022 12:39:37
56,60,14/03/2022 12:39:47
57,60,14/03/2022 12:39:58
58,60,14/03/2022 12:40:09
59,60,14/03/2022 12:40:19
60,61,14/03/2022 12:40:30
61,61,14/03/2022 12:40:40
62,61,14/03/2022 12:40:51
63,61,14/03/2022 12:41:02
64,61,14/03/2022 12:41:12
65,60,14/03/2022 12:41:23
66,60,14/03/2022 12:41:34
67,60,14/03/2022 12:41:44
68,60,14/03/2022 12:41:55
69,60,14/03/2022 12:42:06
70,61,14/03/2022 12:42:16
71,61,14/03/2022 12:42:27
72,61,14/03/2022 12:42:38
73,61,14/03/2022 12:42:48
74,61,14/03/2022 12:42:59
75,60,14/03/2022 12:43:10
76,60,14/03/2022 12:43:20
77,60,14/03/2022 12:43:31
78,60,14/03/2022 12:43:41
79,60,14/03/2022 12:43:52
80,60,14/03/2022 12:44:03
81,60,14/03/2022 12:44:13
82,60,14/03/2022 12:44:24
83,60,14/03/2022 12:44:34
84,60,14/03/2022 12:44:45
85,62,14/03/2022 12:44:56
86,62,14/03/2022 12:45:06
87,62,14/03/2022 12:45:17
88,62,14/03/2022 12:45:27
89,62,14/03/2022 12:45:38
90,61,14/03/2022 12:45:49
91,61,14/03/2022 12:45:59
92,61,14/03/2022 12:46:10
93,61,14/03/2022 12:46:20
94,61,14/03/2022 12:46:31
95,61,14/03/2022 12:46:42
96,61,14/03/2022 12:46:52
97,61,14/03/2022 12:47:03
98,61,14/03/2022 12:47:14
99,61,14/03/2022 12:47:24
100,59,14/03/2022 12:47:35
101,59,14/03/2022 12:47:45
102,59,14/03/2022 12:47:56
103,59,14/03/2022 12:48:07
104,59,14/03/2022 12:48:17
105,60,14/03/2022 12:48:28
106,60,14/03/2022 12:48:39
107,60,14/03/2022 12:48:49
108,60,14/03/2022 12:49:00
109,60,14/03/2022 12:49:10
110,58,14/03/2022 12:49:21
111,58,14/03/2022 12:49:32
112,58,14/03/2022 12:49:42
113,58,14/03/2022 12:49:53
114,58,14/03/2022 12:50:04
115,59,14/03/2022 12:50:14
116,59,14/03/2022 12:50:25
117,59,14/03/2022 12:50:35
118,59,14/03/2022 12:50:46
119,59,14/03/2022 12:50:57
120,59,14/03/2022 12:51:07
121,59,14/03/2022 12:51:18
122,59,14/03/2022 12:51:29
123,59,14/03/2022 12:51:39
124,59,14/03/2022 12:51:50
125,60,14/03/2022 12:52:00
126,60,14/03/2022 12:52:11
127,60,14/03/2022 12:52:22
128,60,14/03/2022 12:52:32
129,60,14/03/2022 12:52:43
130,60,14/03/2022 12:52:53
131,60,14/03/2022 12:53:04
132,60,14/03/2022 12:53:15
133,60,14/03/2022 12:53:25
134,60,14/03/2022 12:53:36
135,60,14/03/2022 12:53:47
136,60,14/03/2022 12:53:57
137,60,14/03/2022 12:54:08
138,60,14/03/2022 12:54:19
139,60,14/03/2022 12:54:29
140,59,14/03/2022 12:54:40
141,59,14/03/2022 12:54:50
142,59,14/03/2022 12:55:01
143,59,14/03/2022 12:55:12
144,59,14/03/2022 12:55:22
145,61,14/03/2022 12:55:33
146,61,14/03/2022 12:55:43
147,61,14/03/2022 12:55:54
148,61,14/03/2022 12:56:05
149,61,14/03/2022 12:56:15
150,60,14/03/2022 12:56:26
151,60,14/03/2022 12:56:36
152,60,14/03/2022 12:56:47
153,60,14/03/2022 12:56:58
154,60,14/03/2022 12:57:08
155,61,14/03/2022 12:57:19
156,61,14/03/2022 12:57:30
157,61,14/03/2022 12:57:40
158,61,14/03/2022 12:57:51
159,61,14/03/2022 12:58:01
160,60,14/03/2022 12:58:12
161,60,14/03/2022 12:58:23
162,60,14/03/2022 12:58:33
163,60,14/03/2022 12:58:44
164,60,14/03/2022 12:58:55
165,61,14/03/2022 12:59:05
166,61,14/03/2022 12:59:16
167,61,14/03/2022 12:59:26
168,61,14/03/2022 12:59:37
169,61,14/03/2022 12:59:48
170,61,14/03/2022 12:59:58
171,61,14/03/2022 13:00:09
172,61,14/03/2022 13:00:19
173,61,14/03/2022 13:00:30
174,61,14/03/2022 13:00:41
175,62,14/03/2022 13:00:51
176,62,14/03/2022 13:01:02
177,62,14/03/2022 13:01:13
178,62,14/03/2022 13:01:23
179,62,14/03/2022 13:01:34
180,60,14/03/2022 13:01:44
181,60,14/03/2022 13:01:55
182,60,14/03/2022 13:02:06
183,60,14/03/2022 13:02:16
184,60,14/03/2022 13:02:27
185,60,14/03/2022 13:02:37
