,BPM,Moment
0,69,03/03/2022 13:23:05
1,69,03/03/2022 13:23:16
2,69,03/03/2022 13:23:27
3,69,03/03/2022 13:23:37
4,69,03/03/2022 13:23:48
5,68,03/03/2022 13:23:58
6,68,03/03/2022 13:24:09
7,68,03/03/2022 13:24:20
8,68,03/03/2022 13:24:30
9,68,03/03/2022 13:24:41
10,69,03/03/2022 13:24:51
11,69,03/03/2022 13:25:02
12,69,03/03/2022 13:25:13
13,69,03/03/2022 13:25:23
14,69,03/03/2022 13:25:34
15,69,03/03/2022 13:25:44
16,69,03/03/2022 13:25:55
17,69,03/03/2022 13:26:06
18,69,03/03/2022 13:26:16
19,69,03/03/2022 13:26:27
20,70,03/03/2022 13:26:38
21,70,03/03/2022 13:26:48
22,70,03/03/2022 13:26:59
23,70,03/03/2022 13:27:09
24,70,03/03/2022 13:27:20
25,69,03/03/2022 13:27:31
26,69,03/03/2022 13:27:41
27,69,03/03/2022 13:27:52
28,69,03/03/2022 13:28:02
29,69,03/03/2022 13:28:13
30,68,03/03/2022 13:28:24
31,68,03/03/2022 13:28:34
32,68,03/03/2022 13:28:45
33,68,03/03/2022 13:28:55
34,68,03/03/2022 13:29:06
35,70,03/03/2022 13:29:17
36,70,03/03/2022 13:29:27
37,70,03/03/2022 13:29:38
38,70,03/03/2022 13:29:48
39,70,03/03/2022 13:29:59
40,69,03/03/2022 13:30:10
41,69,03/03/2022 13:30:20
42,69,03/03/2022 13:30:31
43,69,03/03/2022 13:30:42
44,69,03/03/2022 13:30:52
45,68,03/03/2022 13:31:03
46,68,03/03/2022 13:31:13
47,68,03/03/2022 13:31:24
48,68,03/03/2022 13:31:35
49,68,03/03/2022 13:31:45
