,BPM,Moment
0,70,03/03/2022 10:50:29
1,70,03/03/2022 10:50:39
2,70,03/03/2022 10:50:50
3,70,03/03/2022 10:51:01
4,70,03/03/2022 10:51:11
5,69,03/03/2022 10:51:22
6,69,03/03/2022 10:51:33
7,69,03/03/2022 10:51:43
8,69,03/03/2022 10:51:54
9,69,03/03/2022 10:52:04
10,68,03/03/2022 10:52:15
11,68,03/03/2022 10:52:26
12,68,03/03/2022 10:52:36
13,68,03/03/2022 10:52:47
14,68,03/03/2022 10:52:57
15,69,03/03/2022 10:53:08
16,69,03/03/2022 10:53:19
17,69,03/03/2022 10:53:29
18,69,03/03/2022 10:53:40
19,69,03/03/2022 10:53:50
20,71,03/03/2022 10:54:01
21,71,03/03/2022 10:54:12
22,71,03/03/2022 10:54:22
23,71,03/03/2022 10:54:33
24,71,03/03/2022 10:54:43
25,70,03/03/2022 10:54:54
26,70,03/03/2022 10:55:05
27,70,03/03/2022 10:55:15
28,70,03/03/2022 10:55:26
29,70,03/03/2022 10:55:36
30,68,03/03/2022 10:55:47
31,68,03/03/2022 10:55:57
32,68,03/03/2022 10:56:08
33,68,03/03/2022 10:56:19
34,68,03/03/2022 10:56:29
35,69,03/03/2022 10:56:40
36,69,03/03/2022 10:56:50
37,69,03/03/2022 10:57:01
38,69,03/03/2022 10:57:12
39,69,03/03/2022 10:57:22
40,69,03/03/2022 10:57:33
41,69,03/03/2022 10:57:43
42,69,03/03/2022 10:57:54
43,69,03/03/2022 10:58:05
44,69,03/03/2022 10:58:15
45,68,03/03/2022 10:58:26
46,68,03/03/2022 10:58:36
47,68,03/03/2022 10:58:47
48,68,03/03/2022 10:58:58
49,68,03/03/2022 10:59:08
50,66,03/03/2022 10:59:19
51,66,03/03/2022 10:59:29
52,66,03/03/2022 10:59:40
53,66,03/03/2022 10:59:51
54,66,03/03/2022 11:00:01
55,67,03/03/2022 11:00:12
56,67,03/03/2022 11:00:22
57,67,03/03/2022 11:00:33
58,67,03/03/2022 11:00:44
59,67,03/03/2022 11:00:54
60,70,03/03/2022 11:01:05
61,70,03/03/2022 11:01:16
62,70,03/03/2022 11:01:26
63,70,03/03/2022 11:01:37
64,70,03/03/2022 11:01:47
65,68,03/03/2022 11:01:58
66,68,03/03/2022 11:02:09
67,68,03/03/2022 11:02:19
68,68,03/03/2022 11:02:30
69,68,03/03/2022 11:02:40
70,67,03/03/2022 11:02:51
71,67,03/03/2022 11:03:02
72,67,03/03/2022 11:03:13
73,67,03/03/2022 11:03:23
74,67,03/03/2022 11:03:34
75,68,03/03/2022 11:03:44
76,68,03/03/2022 11:03:55
77,68,03/03/2022 11:04:06
78,68,03/03/2022 11:04:16
79,68,03/03/2022 11:04:27
80,69,03/03/2022 11:04:38
81,69,03/03/2022 11:04:48
82,69,03/03/2022 11:04:59
83,69,03/03/2022 11:05:09
84,69,03/03/2022 11:05:20
85,69,03/03/2022 11:05:31
86,69,03/03/2022 11:05:41
87,69,03/03/2022 11:05:52
88,69,03/03/2022 11:06:02
89,69,03/03/2022 11:06:13
90,68,03/03/2022 11:06:24
91,68,03/03/2022 11:06:34
92,68,03/03/2022 11:06:45
93,68,03/03/2022 11:06:55
94,68,03/03/2022 11:07:06
95,67,03/03/2022 11:07:17
96,67,03/03/2022 11:07:27
97,67,03/03/2022 11:07:38
98,67,03/03/2022 11:07:49
99,67,03/03/2022 11:07:59
100,65,03/03/2022 11:08:10
101,65,03/03/2022 11:08:20
102,65,03/03/2022 11:08:31
103,65,03/03/2022 11:08:42
104,65,03/03/2022 11:08:52
105,67,03/03/2022 11:09:03
106,67,03/03/2022 11:09:13
107,67,03/03/2022 11:09:24
108,67,03/03/2022 11:09:35
109,67,03/03/2022 11:09:45
110,68,03/03/2022 11:09:56
111,68,03/03/2022 11:10:06
112,68,03/03/2022 11:10:17
113,68,03/03/2022 11:10:28
114,68,03/03/2022 11:10:38
115,71,03/03/2022 11:10:49
116,71,03/03/2022 11:10:59
117,71,03/03/2022 11:11:10
118,71,03/03/2022 11:11:21
119,71,03/03/2022 11:11:31
120,69,03/03/2022 11:11:42
121,69,03/03/2022 11:11:52
122,69,03/03/2022 11:12:03
123,69,03/03/2022 11:12:14
124,69,03/03/2022 11:12:24
125,67,03/03/2022 11:12:35
126,67,03/03/2022 11:12:45
127,67,03/03/2022 11:12:56
128,67,03/03/2022 11:13:07
129,67,03/03/2022 11:13:17
130,67,03/03/2022 11:13:28
131,67,03/03/2022 11:13:39
132,67,03/03/2022 11:13:49
133,67,03/03/2022 11:14:00
134,67,03/03/2022 11:14:10
135,70,03/03/2022 11:14:21
136,70,03/03/2022 11:14:31
137,70,03/03/2022 11:14:42
138,70,03/03/2022 11:14:53
139,70,03/03/2022 11:15:03
140,66,03/03/2022 11:15:14
141,66,03/03/2022 11:15:25
142,66,03/03/2022 11:15:35
143,66,03/03/2022 11:15:46
144,66,03/03/2022 11:15:56
145,67,03/03/2022 11:16:07
