,BPM,Moment
0,74,02/03/2022 12:29:10
1,74,02/03/2022 12:29:20
2,74,02/03/2022 12:29:31
3,74,02/03/2022 12:29:42
4,74,02/03/2022 12:29:52
5,74,02/03/2022 12:30:03
6,74,02/03/2022 12:30:13
7,74,02/03/2022 12:30:24
8,74,02/03/2022 12:30:35
9,74,02/03/2022 12:30:45
10,74,02/03/2022 12:30:56
11,74,02/03/2022 12:31:06
12,74,02/03/2022 12:31:17
13,74,02/03/2022 12:31:28
14,74,02/03/2022 12:31:38
15,74,02/03/2022 12:31:49
16,74,02/03/2022 12:31:59
17,74,02/03/2022 12:32:10
18,74,02/03/2022 12:32:21
19,74,02/03/2022 12:32:31
20,75,02/03/2022 12:32:42
21,75,02/03/2022 12:32:52
22,75,02/03/2022 12:33:03
23,75,02/03/2022 12:33:14
24,75,02/03/2022 12:33:24
25,73,02/03/2022 12:33:35
26,73,02/03/2022 12:33:45
27,73,02/03/2022 12:33:56
28,73,02/03/2022 12:34:07
29,73,02/03/2022 12:34:17
30,75,02/03/2022 12:34:28
31,75,02/03/2022 12:34:39
32,75,02/03/2022 12:34:49
33,75,02/03/2022 12:35:00
34,75,02/03/2022 12:35:10
35,74,02/03/2022 12:35:21
36,74,02/03/2022 12:35:32
37,74,02/03/2022 12:35:42
38,74,02/03/2022 12:35:53
39,74,02/03/2022 12:36:03
40,74,02/03/2022 12:36:14
41,74,02/03/2022 12:36:25
42,74,02/03/2022 12:36:35
43,74,02/03/2022 12:36:46
44,74,02/03/2022 12:36:56
45,71,02/03/2022 12:37:07
46,71,02/03/2022 12:37:18
47,71,02/03/2022 12:37:28
48,71,02/03/2022 12:37:39
49,71,02/03/2022 12:37:50
50,72,02/03/2022 12:38:00
51,72,02/03/2022 12:38:11
52,72,02/03/2022 12:38:21
53,72,02/03/2022 12:38:32
54,72,02/03/2022 12:38:42
55,74,02/03/2022 12:38:53
56,74,02/03/2022 12:39:04
57,74,02/03/2022 12:39:14
58,74,02/03/2022 12:39:25
59,74,02/03/2022 12:39:35
60,76,02/03/2022 12:39:46
61,76,02/03/2022 12:39:57
62,76,02/03/2022 12:40:07
63,76,02/03/2022 12:40:18
64,76,02/03/2022 12:40:28
65,72,02/03/2022 12:40:39
66,72,02/03/2022 12:40:50
67,72,02/03/2022 12:41:00
68,72,02/03/2022 12:41:11
69,72,02/03/2022 12:41:21
70,71,02/03/2022 12:41:32
71,71,02/03/2022 12:41:43
72,71,02/03/2022 12:41:53
73,71,02/03/2022 12:42:04
74,71,02/03/2022 12:42:15
75,73,02/03/2022 12:42:25
76,73,02/03/2022 12:42:36
77,73,02/03/2022 12:42:46
78,73,02/03/2022 12:42:57
79,73,02/03/2022 12:43:08
80,73,02/03/2022 12:43:18
81,73,02/03/2022 12:43:29
82,73,02/03/2022 12:43:39
83,73,02/03/2022 12:43:50
84,73,02/03/2022 12:44:01
85,72,02/03/2022 12:44:11
86,72,02/03/2022 12:44:22
87,72,02/03/2022 12:44:33
88,72,02/03/2022 12:44:43
89,72,02/03/2022 12:44:54
90,72,02/03/2022 12:45:04
91,72,02/03/2022 12:45:15
92,72,02/03/2022 12:45:26
93,72,02/03/2022 12:45:36
94,72,02/03/2022 12:45:47
95,75,02/03/2022 12:45:57
96,75,02/03/2022 12:46:08
97,75,02/03/2022 12:46:19
98,75,02/03/2022 12:46:29
99,75,02/03/2022 12:46:40
100,72,02/03/2022 12:46:50
101,72,02/03/2022 12:47:01
102,72,02/03/2022 12:47:12
103,72,02/03/2022 12:47:22
104,72,02/03/2022 12:47:33
105,74,02/03/2022 12:47:44
106,74,02/03/2022 12:47:54
107,74,02/03/2022 12:48:05
108,74,02/03/2022 12:48:15
109,74,02/03/2022 12:48:26
110,73,02/03/2022 12:48:37
111,73,02/03/2022 12:48:47
112,73,02/03/2022 12:48:58
113,73,02/03/2022 12:49:09
114,73,02/03/2022 12:49:19
115,72,02/03/2022 12:49:30
116,72,02/03/2022 12:49:40
117,72,02/03/2022 12:49:51
118,72,02/03/2022 12:50:01
119,72,02/03/2022 12:50:12
120,72,02/03/2022 12:50:23
121,72,02/03/2022 12:50:33
122,72,02/03/2022 12:50:44
123,72,02/03/2022 12:50:55
124,72,02/03/2022 12:51:05
125,72,02/03/2022 12:51:16
126,72,02/03/2022 12:51:26
127,72,02/03/2022 12:51:37
128,72,02/03/2022 12:51:48
129,72,02/03/2022 12:51:58
130,73,02/03/2022 12:52:09
131,73,02/03/2022 12:52:19
132,73,02/03/2022 12:52:30
133,73,02/03/2022 12:52:41
134,73,02/03/2022 12:52:51
135,73,02/03/2022 12:53:02
136,73,02/03/2022 12:53:12
137,73,02/03/2022 12:53:23
138,73,02/03/2022 12:53:34
139,73,02/03/2022 12:53:44
140,72,02/03/2022 12:53:55
141,72,02/03/2022 12:54:06
142,72,02/03/2022 12:54:16
143,72,02/03/2022 12:54:27
